132,126,104,129,128,127,118,139,112,117,106,115,133,134,137,135,138,125,140,136,121,105,109,107,116,119,111,142,141,113,131,130,108,110,102,103,122,124,120,123,114,151,152,153,161,162,163,164,32,26,4,29,28,27,18,39,12,17,6,15,33,34,37,35,38,25,40,36,21,5,9,7,16,19,11,42,41,13,31,30,8,10,2,3,22,24,20,23,14,51,52,53,61,62,63,64
-1,34.4237,-1,67.7968,57.0772,51.819,80.6554,57.2453,-1,-1,57.5284,37.2729,-1,56.8284,69.1159,60.3815,-1,73.0876,59.572,-1,81.0897,76.0114,83.0005,84.8619,93.7296,75.7422,41.942,-1,-1,63.1072,-1,51.799,52.3651,-1,54.4943,45.5782,49.3008,-1,-1,-1,-1,-1,59.0002,-1,-1,-1,-1,-1,97.2628,102.143,-1,-1,-1,-1,-1,-1,-1,-1,-1,106.366,-1,103.426,104.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,105.151,114.064,-1,-1,116.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34.4237,-1,57.5633,73.6987,57.1204,52.361,90.6878,60.6419,-1,-1,68.0359,48.4715,57.144,52.2431,66.9027,60.0228,63.9541,80.8701,63.6938,-1,92.3983,86.3968,93.876,92.6426,105.861,85.6029,55.135,63.2577,71.0336,70.6,57.6721,47.7329,55.6382,50.1238,67.0473,48.3731,49.3093,-1,-1,-1,-1,-1,63.5728,42.982,-1,-1,-1,-1,97.7126,104.677,-1,-1,-1,-1,-1,-1,-1,-1,-1,109.503,-1,105.043,107.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,108.721,115.784,-1,132.265,119.953,108.829,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,57.5633,-1,76.3707,80.6827,-1,58.9278,-1,58.9443,48.1252,33.541,35.8906,-1,85.4626,-1,88.7701,-1,72.8972,76.2226,-1,67.4191,51.5988,65.6098,61.2181,75.667,68.4715,47.6328,-1,-1,-1,-1,-1,71.3984,55.2584,42.3513,56.3635,66.1379,91.5172,103.685,94.6514,94.8774,39.9921,67.9306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67.7968,73.6987,76.3707,-1,75.6089,72.3392,57.4525,59.2785,63.1778,81.0007,75.2397,68.8653,63.9282,84.5216,87.0117,80.9262,79.491,56.4869,54.2627,53.83,59.7459,74.9532,64.0235,73.8186,69.6502,64.3732,85.7595,59.3742,55.7066,59.508,76.1494,74.1084,98.8409,94.1366,95.5709,92.5128,94.3838,-1,117.052,105.99,-1,67.0507,80.7542,67.8775,47.3459,63.266,-1,65.1372,-1,-1,-1,55.5004,86.6558,-1,58.0429,-1,-1,-1,90.6679,86.1726,83.3281,98.9081,100.09,94.8229,98.0117,76.6165,74.255,-1,74.5058,81.0158,78.6319,74.8888,86.5841,78.638,102.805,82.4441,78.5401,77.6547,-1,-1,-1,-1,114.996,-1,108.557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57.0772,57.1204,80.6827,75.6089,-1,35.5296,105.653,77.2892,105.494,57.2652,92.3242,72.9228,62.8891,50.6806,50.9544,37.8995,48.0273,95.7239,72.1639,94.3354,108.201,108.164,112.603,117.242,121.197,106.624,65.6208,66.857,71.8205,91.3688,63.0354,70.3734,63.44,62.6887,87.7649,70.5471,54.6704,54.9289,63.8355,55.4755,67.4615,71.6308,56.5525,55.2526,77.1919,73.9804,-1,-1,-1,-1,-1,79.7272,68.2619,58.487,-1,87.4423,-1,-1,-1,95.6891,86.9202,88.1706,91.1433,81.3227,86.8392,111.539,91.9213,-1,-1,-1,121.681,-1,-1,115.237,91.0263,86.8724,91.3761,105.037,-1,-1,97.5625,-1,-1,102.422,-1,-1,98.221,96.5687,104.26,-1,-1,-1,91.1421,-1,-1,-1
51.819,52.361,-1,72.3392,35.5296,-1,98.5688,-1,-1,-1,83.6193,63.511,-1,53.8887,55.8949,44.283,54.4794,94.1486,71.9025,-1,101.743,98.5888,105.688,107.8,115.445,100.067,54.6714,-1,-1,-1,-1,-1,59.4269,57.4072,75.0095,62.9884,50.0333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.8771,-1,-1,-1,-1,-1,-1,-1,-1,73.2569,77.3396,67.9372,75.1915,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80.6554,90.6878,58.9278,57.4525,105.653,98.5688,-1,-1,-1,88.0994,47.4104,65.2922,-1,114.449,-1,-1,110.933,54.9778,75.1159,62.1631,34.5184,40.9465,37.8585,37.3919,43.9093,49.6724,91.6387,-1,-1,-1,-1,-1,112.461,101.807,85.2285,97.8934,109.365,-1,141.513,133.414,-1,71.0757,101.469,77.5955,36.5859,51.3273,-1,25.4313,-1,-1,-1,58.9094,-1,-1,-1,-1,-1,-1,-1,81.1684,-1,-1,-1,-1,-1,-1,-1,-1,55.0223,57.7794,-1,47.6034,63.2833,-1,116.796,-1,-1,-1,-1,-1,-1,-1,107.735,-1,125.426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57.2453,60.6419,-1,59.2785,77.2892,-1,-1,-1,-1,-1,-1,60.2519,45.9284,75.4782,82.6352,79.1491,75.8138,50.9718,38.1959,-1,70.7353,82.6971,73.6245,87.4732,84.0306,57.0172,82.6049,49.1405,50.2965,46.4782,61.5904,53.8706,94.0145,87.0816,92.6511,84.4644,88.2037,-1,114.602,102.466,110.489,61.8773,84.4785,62.6623,54.4766,59.5188,-1,-1,-1,-1,-1,-1,97.216,-1,-1,-1,-1,-1,-1,-1,-1,112.666,115.198,107.485,110.835,97.4387,93.1488,-1,-1,-1,-1,-1,-1,101.995,-1,98.0221,96.62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,58.9443,63.1778,105.494,-1,-1,-1,-1,-1,52.7625,61.4156,-1,105.526,-1,-1,-1,49.6726,67.5288,-1,39.8491,47.7454,33.6052,49.0574,48.4721,38.1042,86.4527,82.524,-1,42.19,94.6925,82.1252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.7527,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,48.1252,81.0007,57.2652,-1,88.0994,-1,-1,-1,61.068,48.6443,-1,67.4509,-1,65.1638,74.443,91.1508,-1,-1,93.9205,80.0069,93.1191,91.6685,105.7,93.0583,37.811,-1,-1,-1,-1,-1,52.4347,42.0475,55.8617,-1,43.9255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57.5284,68.0359,33.541,75.2397,92.3242,83.6193,47.4104,-1,52.7625,61.068,-1,43.5878,85.7989,96.1259,107.091,98.9122,102.632,69.4469,79.2614,-1,59.3325,45.3615,56.5466,53.7993,69.5052,64.5467,62.158,89.343,-1,67.4006,95.059,83.9272,82.0961,69.3017,52.5844,67.7339,80.9736,-1,-1,-1,-1,56.0988,83.4301,56.0276,49.3907,34.4858,-1,41.8748,-1,-1,-1,88.5006,-1,-1,-1,-1,-1,-1,-1,113.67,-1,129.473,133.489,-1,-1,-1,-1,-1,91.0542,98.8341,-1,85.033,100.327,-1,125.819,-1,-1,-1,-1,-1,-1,-1,134.261,-1,132.107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37.2729,48.4715,35.8906,68.8653,72.9228,63.511,65.2922,60.2519,61.4156,48.6443,43.5878,-1,-1,73.3518,86.1977,77.3489,80.3982,69.761,65.1341,-1,70.1076,61.4029,68.8847,66.7934,82.2801,67.7823,49.8793,71.732,73.6469,61.0459,73.4204,63.6161,65.2828,54.1905,52.1714,53.8726,62.4415,-1,-1,-1,-1,45.2902,67.9452,40.6169,46.6617,32.7945,-1,48.7467,102.153,111.738,-1,82.5977,95.1549,-1,79.4842,-1,-1,-1,112.019,108.837,-1,113.652,115.011,107.427,112.849,104.727,103.95,-1,101.828,105.525,-1,96.8068,110.856,109.758,111.923,-1,-1,-1,-1,113.198,122.967,-1,130.009,123.64,115.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,57.144,-1,63.9282,62.8891,-1,-1,45.9284,-1,-1,85.7989,-1,-1,62.0464,64.2383,60.5453,55.0834,69.2179,46.1193,-1,86.1121,97.4588,90.5139,100.916,98.3001,78.3217,79.823,44.0156,48.3791,63.0784,49.8824,53.4775,-1,-1,-1,-1,-1,-1,100.989,88.065,-1,65.2823,77.6893,61.3971,-1,66.9659,-1,-1,-1,-1,-1,77.401,90.3057,-1,-1,-1,-1,-1,-1,-1,98.0284,108.449,109.731,101.513,106.168,-1,-1,-1,107.495,-1,-1,-1,-1,107.651,113.184,96.7324,95.9386,-1,104.071,105.663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56.8284,52.2431,85.4626,84.5216,50.6806,53.8887,114.449,75.4782,105.526,67.4509,96.1259,73.3518,62.0464,-1,52.3712,44.8963,50.2327,100.871,74.1731,-1,113.863,114.109,116.681,121.099,128.335,106.823,73.2418,69.0352,77.2544,90.5129,55.9978,57.6561,64.9507,65.9335,93.9174,64.9765,59.6921,66.7171,74.454,61.2472,73.6332,76.5053,72.8416,63.5565,83.4769,77.6164,-1,-1,102.881,107.648,-1,95.1946,89.9644,77.5629,-1,107.316,-1,-1,131.82,115.75,106.938,107.798,110.307,100.256,108.549,123.939,109.245,-1,131.983,136.195,133.214,-1,-1,128.246,110.657,106.611,-1,122.477,109.959,111.404,118.798,-1,-1,123.002,-1,-1,119.796,117.401,124.668,-1,-1,-1,104.581,-1,-1,-1
69.1159,66.9027,-1,87.0117,50.9544,55.8949,-1,82.6352,-1,-1,107.091,86.1977,64.2383,52.3712,-1,35.8147,39.527,106.461,77.9152,-1,-1,122.912,122.12,130.68,132.657,113.544,84.5692,67.108,77.1513,99.9695,58.63,73.6841,78.9733,79.8555,106.796,83.0438,72.5844,70.0929,74.938,65.5659,77.8327,84.534,76.4822,72.4454,88.8286,87.694,-1,-1,104.905,108.711,-1,98.6646,90.8092,78.5214,-1,108.966,-1,-1,134.498,117.275,108.344,109.358,111.387,101.524,109.344,125.111,111.422,-1,-1,139.282,137.558,-1,-1,129.578,111.403,108.657,-1,124.086,-1,-1,120.578,-1,-1,125.349,-1,-1,122.755,118.978,127.83,-1,-1,-1,-1,-1,-1,-1
